"filename", "language", "Python", "JSON", "comment", "blank", "total"
"/home/cebo/Desktop/Projects/notions/notions/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/cebo/Desktop/Projects/notions/notions/config.json", "JSON", 0, 1, 0, 0, 1
"/home/cebo/Desktop/Projects/notions/notions/constants.py", "Python", 11, 0, 0, 5, 16
"/home/cebo/Desktop/Projects/notions/notions/helpers.py", "Python", 56, 0, 6, 30, 92
"/home/cebo/Desktop/Projects/notions/notions/models/notion_props.py", "Python", 42, 0, 0, 15, 57
"/home/cebo/Desktop/Projects/notions/notions/notion_crud.py", "Python", 87, 0, 3, 32, 122
"/home/cebo/Desktop/Projects/notions/notions/notions.py", "Python", 138, 0, 3, 33, 174
"Total", "-", 334, 1, 12, 116, 463
